nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
109925,1521004,Lake Te Rangatapu,,20/11/2016,,Department of Conservation Otago,,Lake Te Rangatapu,Lake,Perennial,,,Chatham Island,2432874,5063066,-44.109142,-176.594184,,,,n,n,n,foot/LUV,,,,0.55,Unknown,Tannin,,,15.6,1.21,,,,0.1,Still:100,"Bedrock:90, Mud/Silt (< 1mm):10","Wood/instream debris:y, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:n, Periphyton:n",Native forest:100,"Traps - G minnow (fine mesh, unbaited)",Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,,11,FALSE,FALSE,,,,,V2
109926,1521004,Lake Te Rangatapu,,20/11/2016,,Department of Conservation Otago,,Lake Te Rangatapu,Lake,Perennial,,,Chatham Island,2432887,5063071,-44.109083,-176.594032,,,,n,n,n,foot/LUV,,,,0.55,Unknown,,,,15.6,1.21,,,,0.1,Still:100,"Bedrock:90, Mud/Silt (< 1mm):10","Wood/instream debris:y, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:n, Periphyton:n",Native forest:100,"Traps - G minnow (fine mesh, unbaited)",Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,,10,FALSE,FALSE,,,,,V2
109927,1521004,Lake Te Rangatapu,,20/11/2016,,Department of Conservation Otago,,Lake Te Rangatapu,Lake,Perennial,,,Chatham Island,2432891,5063072,-44.10907,-176.593984,,,,n,n,n,foot/LUV,,,,0.55,Unknown,Tannin,,,15.6,1.21,,,,0.1,Still:100,"Bedrock:80, Mud/Silt (< 1mm):20","Wood/instream debris:y, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:n, Periphyton:n",Native forest:100,"Traps - G minnow (fine mesh, unbaited)",Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,,12,FALSE,FALSE,,,,,V2
109928,1521004,Lake Te Rangatapu,,20/11/2016,,Department of Conservation Otago,,Lake Te Rangatapu,Lake,Perennial,,,Chatham Island,2432882,5063063,-44.10916,-176.594081,,,,n,n,n,foot/LUV,,,,0.55,Unknown,Tannin,,,15.6,1.21,,,,0.1,Still:100,"Bedrock:80, Mud/Silt (< 1mm):20","Wood/instream debris:y, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:n, Periphyton:n",Native forest:100,"Traps - G minnow (fine mesh, unbaited)",Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,,16,FALSE,FALSE,,,,,V2
109928,1521004,Lake Te Rangatapu,,20/11/2016,,Department of Conservation Otago,,Lake Te Rangatapu,Lake,Perennial,,,Chatham Island,2432882,5063063,-44.10916,-176.594081,,,,n,n,n,foot/LUV,,,,0.55,Unknown,Tannin,,,15.6,1.21,,,,0.1,Still:100,"Bedrock:80, Mud/Silt (< 1mm):20","Wood/instream debris:y, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:n, Periphyton:n",Native forest:100,Observation - Visual by day,Unknown,,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,1,FALSE,FALSE,,,,500,V2
109930,1521004,Lake Te Rangatapu,,20/11/2016,,Department of Conservation Otago,,Lake Te Rangatapu,Lake,Perennial,,,Chatham Island,2432875,5063064,-44.109159,-176.594168,,,,n,n,n,foot/LUV,,,,0.55,Unknown,Tannin,,,15.6,1.21,,,,0.1,Still:100,"Bedrock:80, Mud/Silt (< 1mm):20","Wood/instream debris:y, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:n, Periphyton:n",Native forest:100,"Traps - G minnow (fine mesh, unbaited)",Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,,21,FALSE,FALSE,,,,,V2
121133,1521001,Lake Tuku a taupo,826,1/01/2004,11:26,Department of Conservation Canterbury,,Lake Tuku a taupo,Lake,Perennial,,,Chatham Island,2439013,5066982,-44.0675,-176.52494,,,,n,n,u,,,,,,Unknown,Tannin,,,,,,,,,,,,,Other net - Hand net,Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,GAL GENE number 826,1,FALSE,FALSE,,,,,V2
121459,1521002,Lake Rakeinui,,19/03/2019,,Canterbury University,Lengths and abundance specific species,Lake Rakeinui,Lake,Perennial,,,Chatham Island,2433890,5064533,-44.095,-176.584,,,,n,n,u,,,,,,,Tannin,,,,,,,,,Still:100,"Sand (1-2 mm):70, Mud/Silt (< 1mm):10, Gravel (3-64 mm):20","Wood/instream debris:y, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:y, Periphyton:n","Native forest:90, Raupo/flax:10",Traps - Gee minnow,No published standard method,,,,,,,,8,n,<4 mm,Both,24,,Neochanna rekohua,Chatham mudfish,,38,FALSE,FALSE,,41,150,"80,120,100,50,130,127,122,60,125,68,112,98,98,70,75,68,92,70,72,50,58,70,47,72,70,41,51,150,60,50,106,72,78,65,74,73,85,121",V2
121709,1521002,Lake Rakeinui,267,1/12/2000,,NIWA,,Lake Rakeinui,Lake,Perennial,,,Chatham Island,1887344,5111597,-44.0924,176.5895,,,,n,u,u,,,,,,Unknown,,,,,,,,,,,,,,Other net - Hand net,Unknown,,,,,,,,,,,,,,Neochanna rekohua,Chatham mudfish,"GAL GENE numbers 267-1,267-2",2,FALSE,FALSE,,,,"120,61",V2
121713,1521003,Waipurua Creek tributary,268,1/12/2000,,NIWA,,Waipurua Creek,Stream,Unknown,,,Chatham Island,1890158,5109560,-44.1096,176.6257,,,,u,u,u,,,,,,Unknown,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Large,,,,,,,,,Galaxias brevipinnis,Koaro,GAL GENE number 268-1,1,FALSE,FALSE,,,,,V2
124901,1521004,Lake Te Rangatapu,,19/03/2019,,Canterbury University,Lengths and abundance specific species,Lake Te Rangatapu,Lake,Perennial,,,Chatham Island,2432891,5063080,-44.109,-176.594,,,,n,n,u,,,,,,,Tannin,,,,,,,,,Still:100,"Sand (1-2 mm):90, Mud/Silt (< 1mm):10","Wood/instream debris:y, Bank vegetation:y, Undercut banks:y, Cobbles:n, Macrophytes:y, Periphyton:n",Native forest:100,Traps - Gee minnow,No published standard method,,,,,,,,8,n,<4 mm,Both,24,,Neochanna rekohua,Chatham mudfish,,71,FALSE,FALSE,,34,130,"60,58,50,38,112,75,63,56,60,50,49,78,38,54,56,43,45,40,50,65,61,42,48,54,44,42,48,50,38,34,41,58,60,63,65,58,48,70,130,88,61,50,72,61,89,40,46,43,46,41,64,61,70,68,45,50,51,74,62,61,54,46,48,50,46,52,60,54,62,61,64",V3
124927,1521007,Lake Rotorua,,17/11/2019,,Canterbury University,Presence or absence all species,Lake Rotorua,Lake,Perennial,,,Chatham Island,2461968,5098525,-43.762,-176.294,,,,n,n,u,,,,,,,,,,,,,,,,,,"Wood/instream debris:y, Bank vegetation:y, Undercut banks:n, Cobbles:n, Macrophytes:y, Periphyton:y",,Fyke net - Standard,No published standard method,,,,,,,,2,n,<4 mm,Both,24,,Neochanna rekohua,Chatham mudfish,,450,FALSE,FALSE,"Not recorded here previously, with estimated count from staggered release",45,125,,V3
124927,1521007,Lake Rotorua,,17/11/2019,,Canterbury University,Presence or absence all species,Lake Rotorua,Lake,Perennial,,,Chatham Island,2461968,5098525,-43.762,-176.294,,,,n,n,u,,,,,,,,,,,,,,,,,,"Wood/instream debris:y, Bank vegetation:y, Undercut banks:n, Cobbles:n, Macrophytes:y, Periphyton:y",,Fyke net - Standard,No published standard method,,,,,,,,2,n,<4 mm,Both,24,,Retropinna retropinna,Common smelt,,580,FALSE,FALSE,Estimated count during staggered fish release,50,120,,V3
