nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
26698,1121002,Shag River 1,,2/03/2006,12:25,Department of Conservation Otago,,Shag River tributary,Not Entered,Unknown,,726.16,Shag R,1415335,4971242,-45.387975,170.641008,14244366,55,25.3,n,u,u,Dry when visited.,,,,,Unknown,,,,,,,,,,,,,,Observation - Observation,Unknown,,,,,,,,,,,,,,Nil,No species recorded,,,FALSE,FALSE,,,,,V1
26699,1121002,Shag River 1,,30/01/2006,12:20,Department of Conservation Otago,,Shag River tributary,Not Entered,Unknown,,726,Shag R,1414789,4971907,-45.38185,170.634289,14244229,50,26.2,n,u,u,Dry when visited.,,,,,Unknown,,,,,,,,,,,,,,Observation - Observation,Unknown,,,,,,,,,,,,,,Nil,No species recorded,,,FALSE,FALSE,,,,,V1
26704,1121002,Shag River 1,,30/01/2006,10:20,Department of Conservation Otago,,McCormicks Creek,Not Entered,Perennial,,726.09,Shag R,1414834,4970785,-45.391953,170.634442,14245252,50,24.9,n,u,u,,30,3,,1,Low,Other,,,16.5,0.99,,,,,"Pool:95, Run:5","Mud:15, Sand (1-2 mm):35, Fine gravel:50","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n","Scrub:90, Grass/tussock:10",Electric fishing - Backpack,Unknown,1,,,,,,,,,,,,,Anguilla australis,Shortfin eel,,3,FALSE,FALSE,,220,500,,V1
26704,1121002,Shag River 1,,30/01/2006,10:20,Department of Conservation Otago,,McCormicks Creek,Not Entered,Perennial,,726.09,Shag R,1414834,4970785,-45.391953,170.634442,14245252,50,24.9,n,u,u,,30,3,,1,Low,Other,,,16.5,0.99,,,,,"Pool:95, Run:5","Mud:15, Sand (1-2 mm):35, Fine gravel:50","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n","Scrub:90, Grass/tussock:10",Electric fishing - Backpack,Unknown,1,,,,,,,,,,,,,Gobiomorphus cotidianus,Common bully,,1,FALSE,FALSE,,36,,,V1
26704,1121002,Shag River 1,,30/01/2006,10:20,Department of Conservation Otago,,McCormicks Creek,Not Entered,Perennial,,726.09,Shag R,1414834,4970785,-45.391953,170.634442,14245252,50,24.9,n,u,u,,30,3,,1,Low,Other,,,16.5,0.99,,,,,"Pool:95, Run:5","Mud:15, Sand (1-2 mm):35, Fine gravel:50","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:y, Undercut banks:n","Scrub:90, Grass/tussock:10",Electric fishing - Backpack,Unknown,1,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,,2,FALSE,FALSE,,320,500,,V1
101907,1121034,Stony Creek,737,5/06/2014,,Department of Conservation Otago,,Stony Creek tributary,Not Entered,Perennial,,743.79,Taieri R,1355249,4978731,-45.302246,169.878155,14239873,481,204.09,n,u,y,,10,2,,,High,,,,,,,,,,"Pool:50, Run:50","Mud:20, Coarse gravel:80",,Exposed bed:100,Electric fishing - Bank generator or mains,Unknown,1,,,,,,,,,,,,,Nil,No species recorded,,,FALSE,TRUE,,,,,V1
117257,1121023,Mare Burn,,7/03/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392962,4980505,-45.298427,170.359372,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"48, 96",V2
117257,1121023,Mare Burn,,7/03/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392962,4980505,-45.298427,170.359372,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
117257,1121023,Mare Burn,,7/03/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392962,4980505,-45.298427,170.359372,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Bait trap (Killwell),Unknown,,,,,,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,74,V2
117257,1121023,Mare Burn,,7/03/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392962,4980505,-45.298427,170.359372,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Bait trap (Killwell),Unknown,,,,,,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
117259,1121023,Mare Burn,,7/03/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392688,4980530,-45.298121,170.355892,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"48, 100",V2
117259,1121023,Mare Burn,,7/03/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392688,4980530,-45.298121,170.355892,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Bait trap (Killwell),Unknown,,,,,,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
117259,1121023,Mare Burn,,7/03/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392688,4980530,-45.298121,170.355892,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Bait trap (Killwell),Unknown,,,,,,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"52, 86",V2
117260,1121023,Mare Burn,,7/03/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392479,4980495,-45.298374,170.353214,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"48, 90",V2
117260,1121023,Mare Burn,,7/03/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1392479,4980495,-45.298374,170.353214,14238578,440,149.67,u,u,u,,,,,,,,,,,,,,,,,,,,Traps - Bait trap (Killwell),Unknown,,,,,,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
117261,1121023,Mare Burn,,26/02/2019,,Ryder Environmental Limited,,Maori Hen Creek,Not Entered,Unknown,,743.58,Taieri River,1394454,4979758,-45.305582,170.378072,14239169,569,153.55,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"48, 80",V2
117261,1121023,Mare Burn,,26/02/2019,,Ryder Environmental Limited,,Maori Hen Creek,Not Entered,Unknown,,743.58,Taieri River,1394454,4979758,-45.305582,170.378072,14239169,569,153.55,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
117262,1121023,Mare Burn,,26/02/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1393904,4980411,-45.299549,170.371335,14238682,471,152.11,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Paranephrops,Koura,,,FALSE,FALSE,,,,,V2
117262,1121023,Mare Burn,,26/02/2019,,Ryder Environmental Limited,,Mare Burn,Not Entered,Unknown,,743.58,Taieri River,1393904,4980411,-45.299549,170.371335,14238682,471,152.11,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"48, 83",V2
117264,1121007,Deepdell Creek,,26/02/2019,,Ryder Environmental Limited,,Deepdell Creek,Not Entered,Unknown,,726.17,Shag River,1400191,4975463,-45.345861,170.449445,14241935,305,57.63,u,u,u,,,,,,,,,,,,,,,,,,,,Electric fishing - Backpack,Unknown,,,,,Small,,,,,,,,,Galaxias depressiceps,Flathead galaxias,,,FALSE,FALSE,,,,"61, 82",V2
