nzffdRecordNumber,Fragment number,Fragment name,institutionRecordNumber,eventDate,eventTime,institution,samplingPurpose,waterBody,waterBodyType,waterPermanence,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,decimalLongitude,decimalLatitude,recSegment,minimumElevation,distanceOcean,siteTidal,siteLandlocked,downstreamBarrier,eventLocationRemarks,siteReachLength,siteAverageWidth,minimumSampledDepth,maximumSampledDepth,waterLevel,waterColour,waterClarity,clarityMethod,waterTemperature,waterConductivity,waterDissolvedOxygenPercent,waterDissolvedOxygenPPM,waterPH,waterSalinity,habitatFlowPercent,habitatSubstratePercent,habitatInstreamCoverPresent,habitatRiparianVegPercent,samplingMethod,samplingProtocol,EfmNumberOfPasses,EfmVoltage,EfmPulseRate,EfmPulseRateWidth,EfmAnodeSize,EfmMinutes,EfmArea,NetsTrapsTotalNumber,NetsTrapsBaited,NetsTrapsMeshSize,NetsTrapsDayNight,NetsTrapsAverageSetTime,ObservationArea,taxonName,taxonCommonName,taxonRemarks,totalCount,present,soughtNotDetected,occurrenceRemarks,minLength,maxLength,indLengths,dataVersion
32247,1181065,Meadow Burn,,19/04/2011,12:00,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1271505,4907216,-45.910064,168.764387,15287472,124,112.7,n,u,u,9 mins fishing,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Salmo trutta,Brown trout,,1,FALSE,FALSE,,265,,,V1
32248,1181065,Meadow Burn,,19/04/2011,12:30,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1272953,4906690,-45.915476,168.782648,15288063,117,110.6,n,u,u,8 mins fishing,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Galaxias gollumoides,Gollum galaxias,,12,FALSE,FALSE,,40,75,,V1
32248,1181065,Meadow Burn,,19/04/2011,12:30,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1272953,4906690,-45.915476,168.782648,15288063,117,110.6,n,u,u,8 mins fishing,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Gobiomorphus breviceps,Upland bully,,4,FALSE,FALSE,,52,70,,V1
32248,1181065,Meadow Burn,,19/04/2011,12:30,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1272953,4906690,-45.915476,168.782648,15288063,117,110.6,n,u,u,8 mins fishing,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Salmo trutta,Brown trout,,4,FALSE,FALSE,,83,190,,V1
32249,1181065,Meadow Burn,,19/04/2011,13:30,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1273481,4905371,-45.927566,168.788541,15290337,117,110.6,n,u,u,10 mins fishing,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Galaxias gollumoides,Gollum galaxias,,4,FALSE,FALSE,,41,55,,V1
32249,1181065,Meadow Burn,,19/04/2011,13:30,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1273481,4905371,-45.927566,168.788541,15290337,117,110.6,n,u,u,10 mins fishing,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Salmo trutta,Brown trout,,2,FALSE,FALSE,,146,260,,V1
32250,1181065,Meadow Burn,,19/04/2011,14:30,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1274414,4904272,-45.937873,168.799796,15290337,113,107.3,n,u,u,8 mins fishing.,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Anguilla dieffenbachii,Longfin eel,others observed,3,FALSE,FALSE,,250,900,,V1
32250,1181065,Meadow Burn,,19/04/2011,14:30,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1274414,4904272,-45.937873,168.799796,15290337,113,107.3,n,u,u,8 mins fishing.,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Salmo trutta,Brown trout,obs only,1,FALSE,FALSE,,,,,V1
32251,1181065,Meadow Burn,,19/04/2011,15:31,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1275558,4902321,-45.955927,168.813193,15290563,106,104,n,u,u,10 mins fishing,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Gobiomorphus breviceps,Upland bully,,3,FALSE,FALSE,,49,59,,V1
32251,1181065,Meadow Burn,,19/04/2011,15:31,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1275558,4902321,-45.955927,168.813193,15290563,106,104,n,u,u,10 mins fishing,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Galaxias gollumoides,Gollum galaxias,,4,FALSE,FALSE,,45,50,,V1
32251,1181065,Meadow Burn,,19/04/2011,15:31,Southland Regional Council,,Meadow Burn,Not Entered,Perennial,,775.63,Mataura R,1275558,4902321,-45.955927,168.813193,15290563,106,104,n,u,u,10 mins fishing,,,,,Medium,Colourless,,,,,,,,,,,"Macrophytes-algae:y, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n",Grass/tussock:100,Electric fishing - Backpack,Unknown,,,,,,,,,,,,,,Salmo trutta,Brown trout,,15,FALSE,FALSE,,73,132,,V1
