Card,Date,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
114814,11,2018,Taieri River,1161034,Waipori River tributary 1,743.05,1000,Waipori River unnamed tributary, ,212,25,wwcl,H45,2278626,5465752,14064439,unk, , , 
114815,11,2018,Taieri River,1161035,Waipori River tributary 2,743.05,1800,Waipori River unnamed tributary, ,213,27,wwcl,H45,2277087,5464253,14064717,efp, , , 
114817,11,2018,Taieri River,1161035,Waipori River tributary 2,743.05,1000,Waipori River unnamed tributary,,229,27,wwcl,H45,2276799,5464026,14064717,efp,,,
114818,11,2018,Taieri River,1161035,Waipori River tributary 2,743.05,1220,Waipori River unnamed tributary,,244,27,wwcl,H45,2276990,5464533,14064656,unk,,,
114820,2,2018,Taieri River,1161035,Waipori River tributary 2,743.05,1530,Waipori River unnamed tributary, ,210,26,wwcl,H45,2277118,5465457,14064503,vbd, , , 
114821,1,2018,Taieri River,1161035,Waipori River tributary 2,743.05,1436,Waipori River unnamed tributary,,274,27,wwcl,H45,2277091,5465656,14064431,vbd,,,
115502,2,2019,Taieri River,1161035,Waipori River tributary 2,743.05,1225,Waipori River unnamed tributary,,244,27,wwcl,H45,2276970,5464548,14064656,efp,,,
115503,2,2019,Taieri River,1161035,Waipori River tributary 2,743.05,1400,Waipori River unnamed tributary,,244,27,wwcl,H45,2277208,5464508,14064656,efp,,,
115504,2,2019,Taieri River,1161035,Waipori River tributary 2,743.05,1534,Waipori River unnamed tributary,,244,27,wwcl,H45,2277136,5464517,14064656,efp,,,
116122,5,2019,Taieri River,1161035,Waipori River tributary 2,743.05,1030,Waipori River unnamed tributary, ,101,25,wwcl,H45,2278861,5464580,14064690,efp, , , 
116167,4,2019,Tokomairiro River,1161031,Tokomairiro River West Branch tributary 1,748,1726,Tokomairiro River West Branch tributary, ,438,51,wwcl,H46,2268721,5465976,14064164,efp, , , 
116467,7,2019,Taieri River,1161004,Post Office Creek,743.05,2215,Post Office Creek, ,548,51,wwcl,H45,2280707,5476771,14061929,spo,, ,
116473,7,2019,Taieri River,1161004,Post Office Creek,743.05,2315,Post Office Creek tributary, ,548,51,wwcl,H45,2280635,5476523,14061929,spo,, ,
116474,7,2019,Taieri River,1161004,Post Office Creek,743.05,15,Post Office Creek tributary, ,565,52,wwcl,H45,2281317,5476655,14061841,spo,, ,
116475,7,2019,Taieri River,1161004,Post Office Creek,743.05,126,Post Office Creek tributary, ,565,52,wwcl,H45,2281291,5476781,14061841,spo,, ,
116476,7,2019,Taieri River,1161004,Post Office Creek,743.05,129,Post Office Creek tributary, ,565,52,wwcl,H45,2281063,5476917,14061841,sdn,, ,
116599,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268380,5476331,14061674,tfu,, ,1
116600,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268335,5476383,14061674,tfu,, ,1
116601,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268337,5476388,14061674,tfu,, ,2
116602,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268388,5476411,14061674,tfu,, ,2
116603,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268747,5476892,14061674,tfu,, ,2
116604,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268750,5476906,14061674,tfu,, ,2
116605,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268767,5476929,14061674,tfu,, ,1
116606,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268774,5476933,14061674,tfu,, ,2
116607,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268776,5476938,14061674,tfu,, ,2
116608,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,51,doco, ,2268757,5476913,14061674,tfu,, ,1
116609,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,410,52,doco, ,2268758,5476337,14061867,tfu,, ,1
116610,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,410,52,doco, ,2268763,5476353,14061867,tfu,, ,1
116611,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,410,52,doco, ,2268765,5476448,14061867,tfu,, ,1
116612,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,410,52,doco, ,2268796,5476489,14061867,tfu,, ,1
116613,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,410,52,doco, ,2268866,5476533,14061867,tfu,, ,1
116614,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,410,52,doco, ,2268927,5476730,14061867,tfu,, ,1
116615,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,410,52,doco, ,2268989,5476840,14061867,tfu,, ,1
116616,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,410,52,doco, ,2269019,5476892,14061867,tfu,, ,1
116617,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,410,52,doco, ,2269075,5476946,14061867,tfu,, ,1
116618,4,2019,Taieri River,1161009,Pioneer Stream tributary,743.054,0,Pioneer Stream tributary, ,409,52,doco, ,2269112,5476944,14061868,tfu,, ,1
120101,12,1991,Taieri River,1161011,Whare Creek,743.09,0,Whare Creek, ,341,50,uoo,I44,2312400,5485500,14058877,ef, , , 
119356,3,1992,Taieri River,1161021,Deep Stream,743.18,0,Barbours Stream, ,669,130,uoo, ,2264700,5491600,14057271,efp,1, , 
119348,10,1991,Taieri River,1161011,Whare Creek,743.09,0,Whare Creek, ,341,50,uoo, ,2312400,5485500,14058877,efp,1, , 
120040,7,2020,Taieri River,1161011,Whare Creek,743.09,1543,Whare Creek, ,341,50,doco,I44,2312291,5485500,14058877,efp, , , 
119336,3,1991,Taieri River,1161012,Smugglers Creek,743.12,0,Smugglers Creek, ,148,42,uoo, ,2293599,5483000,14060065,efp,1, , 
119337,3,1991,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Creek, ,410,40,uoo, ,2272799,5473699,14062742,efp,1, , 
119359,12,1995,Taieri River,1161004,Post Office Creek,743.05,0,Post Office Creek, ,565,52,doco, ,2280799,5476799,14061841,efp,1, , 
120082,10,2020,Taieri River,1161026,Stony Creek,743.058,1153,Stony Creek, ,870,122,uoo,H44,2266400,5508300,14052274,efp, , , 
119341,4,1991,Taieri River,1161026,Stony Creek,752.745,0,Stony Creek, ,839,119,uoo, ,2268400,5508900,14052098,efp,1, , 
119340,3,1991,Taieri River,1161017,Canton Stream,743.13,0,Canton Creek, ,481,82,uoo, ,2273499,5490800,14057539,efp,1, , 
118808,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,490,89,rel,H44,2268801,5487619,14058652,tfb, , ,1
118807,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,490,89,rel,H44,2268763,5487637,14058652,efp, , , 
118811,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,616,90,rel,H44,2268043,5487747,14058556,tfb, , ,2
118806,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,490,89,rel,H44,2268711,5487764,14058652,efp, , , 
118805,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,490,89,rel,H44,2268666,5487770,14058652,tfb, , ,1
118804,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,510,90,rel,H44,2268680,5487787,14058494,tfb, , ,1
118815,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,616,90,rel,H44,2268150,5487805,14058556,efp, , , 
118814,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,616,90,rel,H44,2268105,5487808,14058556,tfb, , ,1
118803,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,510,90,rel,H44,2268664,5487903,14058494,tfb, , ,1
118802,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,510,90,rel,H44,2268614,5487940,14058494,efp, , , 
118801,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,510,90,rel,H44,2268565,5487974,14058494,efp, , , 
118800,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,510,90,rel,H44,2268559,5487980,14058494,tfb, , ,1
118809,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,570,90,rel,H44,2268147,5488139,14058460,tfb, , ,1
118799,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,560,90,rel,H44,2268562,5488177,14058236,efp, , , 
118798,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,560,90,rel,H44,2268566,5488196,14058236,tfb, , ,1
118797,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,560,90,rel,H44,2268492,5488632,14058236,tfb, , ,1
118795,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,560,90,rel,H44,2268415,5488690,14058236,tfb, , ,1
118794,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,560,90,rel,H44,2268418,5488768,14058236,tfb, , ,1
118793,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,560,90,rel,H44,2268503,5488857,14058236,tfb, , ,1
118792,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,649,91,rel,H44,2268452,5488922,14058123,tfb, , ,1
118791,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,612,91,rel,H44,2268500,5488924,14058209,efp, , , 
118788,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,612,91,rel,H44,2268505,5488931,14058209,efp, , , 
118790,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,612,91,rel,H44,2268528,5488931,14058209,efp, , , 
118789,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,612,91,rel,H44,2268548,5488932,14058209,tfb, , ,1
118787,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,612,91,rel,H44,2268548,5488932,14058209,tfb, , ,1
118786,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,623,91,rel,H44,2268513,5488981,14058171,efp, , , 
118785,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,623,91,rel,H44,2268519,5489131,14058171,tfb, , ,1
118784,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,623,91,rel,H44,2268501,5489260,14058171,tfb, , ,1
118822,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272479,5473213,14062712,tfb, , ,1
118823,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272496,5473229,14062712,tfb, , ,1
118824,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272504,5473244,14062712,tfb, , ,1
118829,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272516,5473256,14062712,tfb, , ,1
118830,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272537,5473260,14062712,tfb, , ,1
118825,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272511,5473266,14062712,tfb, , ,1
118826,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272518,5473272,14062712,tfb, , ,1
118828,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272515,5473274,14062712,tfb, , ,1
118827,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272517,5473276,14062712,tfb, , ,1
118831,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272538,5473287,14062712,tfb, , ,1
117244,6,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,441,41,rel,H45,2272508,5473367,14062712,efp, , , 
118841,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2273035,5473516,14062742,tfb, , ,1
118840,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2273020,5473517,14062742,tfb, , ,1
118839,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2273016,5473519,14062742,tfb, , ,1
118838,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2272990,5473556,14062742,tfb, , ,1
118837,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2272959,5473562,14062742,tfb, , ,1
118832,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2272902,5473579,14062742,tfb, , ,1
118836,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2272932,5473592,14062742,tfb, , ,1
118833,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2272911,5473604,14062742,tfb, , ,1
118834,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2272918,5473604,14062742,tfu, , ,1
118835,12,2019,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Stream, ,410,40,rel,H45,2272931,5473605,14062742,tfb, , ,1
120041,3,1991,Taieri River,1161002,Shepard Stream,743.05,0,Shepherd Creek tributary, ,428,40,uoo,H45,2273200,5473300,14062926,efp, , , 
117217,1,2019,Taieri River,1161026,Stony Creek,743.256,0,Stony Creek, ,839,119,rel,H43,2267322,5508236,14052098,efp, , , 
118818,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,591,90,rel,H44,2267968,5487578,14058586,tfb, , ,1
118819,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,591,90,rel,H44,2268014,5487595,14058586,tfb, , ,1
118820,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,591,90,rel,H44,2268056,5487613,14058586,efp, , , 
118821,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,591,90,rel,H44,2268158,5487659,14058586,tfb, , ,1
118817,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,527,90,rel,H44,2268247,5487706,14058566,efp, , , 
118816,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,616,90,rel,H44,2268240,5487761,14058556,efp, , , 
118812,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,616,90,rel,H44,2268068,5487775,14058556,tfb, , ,1
118813,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,616,90,rel,H44,2268090,5487804,14058556,efp, , , 
118810,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream tributary, ,570,90,rel,H44,2268225,5488121,14058460,tfb, , ,1
118796,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,560,90,rel,H44,2268427,5488678,14058236,tfb, , ,1
118783,10,2019,Taieri River,1161014,Broad Stream,743.136,0,Broad Stream, ,623,91,rel,H44,2268528,5489080,14058171,tfb, , ,1
121866,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1000,Three O'clock Stream tributary, ,542,91,doco,I44,2307238,5511612,14051240,vbd,,,
121867,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1041,Three O'clock Stream tributary, ,542,91,doco,I44,2307291,5511560,14051240,efp,,,
121868,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1132,Three O'clock Stream tributary, ,542,91,doco,I44,2307439,5511526,14051240,efp,,,
121869,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1202,Three O'clock Stream tributary, ,542,91,doco,I44,2307506,5511531,14051240,efp,,,
121870,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1301,Three O'clock Stream tributary, ,542,91,doco,I44,2307540,5511531,14051240,efp,,,
121871,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1303,Three O'clock Stream tributary, ,542,91,doco,I44,2307577,5511603,14051240,efp,,,
121872,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1339,Three O'clock Stream tributary, ,542,91,doco,I44,2307602,5511618,14051240,efp,,,
121873,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1408,Three O'clock Stream tributary, ,460,91,doco,I44,2307719,5511635,14051308,efp,,,
121874,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1711,Three O'clock Stream tributary, ,460,91,doco,I44,2307726,5511634,14051308,efp,,,
121875,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1447,Three O'clock Stream tributary, ,460,91,doco,I44,2307937,5511596,14051308,vbd,,,
121876,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1500,Three O'clock Stream tributary, ,496,91,doco,I44,2307996,5511527,14051552,efp,,,
121877,3,2020,Taieri River,1161038,Three O'Clock Stream tributary 3,743.16,1452,Three O'clock Stream tributary, ,425,90,doco,I44,2308056,5511584,14051288,efp,,,
121551,9,1996,Tokomairiro River,1161037,Fishers Stream tributary,748,1500,Fishers Stream tributary, ,371,40,doco,H46,2269600,5463700,14064706,han,,,1
120669,2,2021,Taieri River,1161036,Waipori River tributary 3,743.05,2345,Waipori River tributary, ,195,25,wwcl,H45,2276719,5462799,14064754,spo,,,
120670,2,2021,Taieri River,1161036,Waipori River tributary 3,743.05,800,Waipori River tributary, ,299,29,wwcl,H45,2276160,5462799,14065019,tcb,,,1
121398,5,2021,Taieri River,1161013,Traquair Burn,743.12,1336,Traquair Burn, ,484,52,doco,I44,2286690,5483021,14059955,efp,,,
121390,3,2021,Taieri River,1161012,Smugglers Creek,743.12,1005,Smugglers Creek, ,293,44,doco,I44,2292526,5484520,14059596,efp,,,
121391,3,2021,Taieri River,1161012,Smugglers Creek,743.12,1220,Smugglers Creek, ,228,42,doco,I44,2292711,5484332,14059655,efp,,,
121392,3,2021,Taieri River,1161012,Smugglers Creek,743.12,1100,Smugglers Creek, ,148,42,doco,I44,2293794,5482677,14060065,efp,,,
121393,3,2021,Taieri River,1161012,Smugglers Creek,743.12,1210,Smugglers Creek, ,148,42,doco,I44,2293724,5482768,14060065,vbd,,,
121394,3,2021,Taieri River,1161012,Smugglers Creek,743.12,1224,Smugglers Creek, ,148,42,doco,I44,2293637,5482948,14060065,efp,,,
121667,4,2021,Taieri River,1161011,Whare Creek,743.09,1000,Whare Creek, ,341,50,doco,I44,2312115,5485516,14058877,efp,,,
121668,4,2021,Taieri River,1161011,Whare Creek,743.09,1034,Whare Creek, ,341,50,doco,I44,2312061,5485516,14058877,efp,,,
121669,4,2021,Taieri River,1161011,Whare Creek,743.09,1124,Whare Creek, ,341,50,doco,I44,2311988,5485516,14058877,vbd,,,
121670,6,2021,Taieri River,1161011,Whare Creek,743.09,1144,Whare Creek, ,341,50,doco,I44,2311933,5485507,14058877,efp,,,
121671,4,2021,Taieri River,1161011,Whare Creek,743.09,1203,Whare Creek, ,341,50,doco,I44,2312289,5485500,14058877,vbd,,,
121672,4,2021,Taieri River,1161011,Whare Creek,743.09,1252,Whare Creek, ,341,50,doco,I44,2312302,5485516,14058877,efp,,,
121736,2,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1035,Pioneer Stream tributary, ,410,52,doco,H44,2268774,5476344,14061867,tfu,,,2
121737,2,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1104,Pioneer Stream tributary, ,400,51,doco,H44,2269219,5477119,14061675,tfu,,,5
121738,2,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1115,Pioneer Stream tributary, ,400,51,doco,H44,2269115,5476997,14061675,tfu,,,5
121739,2,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1224,Pioneer Stream tributary, ,410,52,doco,H44,2269049,5476937,14061867,tfu,,,3
121740,2,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1307,Pioneer Stream tributary, ,400,51,doco,H44,2269275,5477185,14061675,tfu,,,5
121741,2,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1334,Pioneer Stream tributary, ,400,51,doco,H44,2269317,5477246,14061675,tfu,,,5
121742,2,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1514,Pioneer Stream tributary, ,400,51,doco,H44,2269362,5477323,14061675,tfu,,,5
121745,6,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1303,Pioneer Stream tributary, ,409,51,doco,H44,2268236,5476264,14061674,tfu,,,2
121746,6,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1337,Pioneer Stream tributary, ,409,51,doco,H44,2268378,5476284,14061674,tfu,,,1
121747,6,2021,Taieri River,1161009,Pioneer Stream tributary,743.054,1401,Pioneer Stream tributary, ,410,52,doco,H44,2268756,5476326,14061867,tfu,,,2
121920,6,2020,Taieri River,1161009,Pioneer Stream tributary,743.054,1124,Pioneer Stream tributary, ,409,51,doco,H44,2268233,5476262,14061674,efp,,,
121921,6,2020,Taieri River,1161009,Pioneer Stream tributary,743.054,1128,Pioneer Stream tributary, ,410,52,doco,H44,2268760,5476325,14061867,efp,,,
121967,6,2020,Taieri River,1161009,Pioneer Stream tributary,743.054,1352,Pioneer Stream tributary, ,410,52,doco,H44,2269042,5476935,14061867,efp,,,
121968,6,2020,Taieri River,1161009,Pioneer Stream tributary,743.054,1352,Pioneer Stream tributary, ,410,52,doco,H44,2269042,5476935,14061867,efp,,,
121673,2,2021,Taieri River,1161008,Lake Mahinerangi tributary 5,743.054,1005,Pioneer Stream tributary, ,448,52,doco,H44,2270175,5475767,14062236,efp,,,
121674,2,2021,Taieri River,1161008,Lake Mahinerangi tributary 5,743.054,1042,Pioneer Stream tributary, ,448,52,doco,H44,2270191,5475703,14062236,efp,,,
121675,2,2021,Taieri River,1161008,Lake Mahinerangi tributary 5,743.054,1101,Pioneer Stream tributary, ,448,52,doco,H44,2270195,5475650,14062236,efp,,,
121676,2,2021,Taieri River,1161008,Lake Mahinerangi tributary 5,743.054,1309,Pioneer Stream tributary, ,448,52,doco,H44,2270247,5475478,14062236,efp,,,
121918,6,2020,Taieri River,1161007,Lake Mahinerangi tributary 4,743.054,1307,Pioneer Stream tributary, ,417,50,doco,H44,2270569,5475480,14062055,efp,,,
121919,6,2020,Taieri River,1161006,Lake Mahinerangi tributary 3,743.05,1116,Loch Luella tributary, ,413,50,doco,H44,2271750,5475264,14062196,efp,,,
121423,9,2012,Taieri River,1161003,Lake Mahinerangi tributary 1,743.05,0,Lake Mahinerangi tributary, ,461,46,doco, ,2277400,5477207,14061772,efp,1,,
121424,9,2012,Taieri River,1161003,Lake Mahinerangi tributary 1,743.05,0,Lake Mahinerangi tributary, ,461,46,doco, ,2277327,5477068,14061876,efp,1,,
121581,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1000,Meggat Burn tributary, ,500,34,doco,H45,2272748,5469370,14063609,vbd,,,
121582,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1032,Meggat Burn tributary, ,500,34,doco,H45,2272720,5469356,14063609,efp,,,
121583,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1054,Meggat Burn tributary, ,500,34,doco,H45,2272683,5469338,14063609,efp,,,
121584,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1100,Meggat Burn tributary, ,500,34,doco,H45,2272678,5469232,14063609,efp,,,
121585,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1200,Meggat Burn tributary, ,500,34,doco,H45,2272508,5469253,14063609,efp,,,
121586,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1216,Meggat Burn tributary, ,500,34,doco,H45,2272468,5469220,14063609,efp,,,
121587,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1249,Meggat Burn tributary, ,500,34,doco,H45,2272443,5469123,14063609,efb,,,
121588,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1307,Meggat Burn tributary, ,500,34,doco,H45,2272409,5469111,14063609,vbd,,,
121589,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1411,Meggat Burn tributary, ,500,34,doco,H45,2272371,5469095,14063609,efp,,,
121590,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1427,Meggat Burn tributary, ,500,34,doco,H45,2272271,5469000,14063609,efp,,,
121594,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1444,Meggat Burn tributary, ,500,34,doco,H45,2272273,5468978,14063609,efp,,,
121595,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1510,Meggat Burn tributary, ,500,34,doco,H45,2272208,5468877,14063609,efp,,,
121596,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1531,Meggat Burn tributary, ,500,34,doco,H45,2272265,5468947,14063609,efp,,,
121597,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,918,Meggat Burn tributary, ,532,35,doco,H45,2271717,5469645,14063585,efp,,,
121598,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,942,Meggat Burn tributary, ,532,35,doco,H45,2271832,5469745,14063585,efp,,,
121599,1,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1006,Meggat Burn tributary, ,532,35,doco,H45,2271848,5469760,14063585,vbd,,,
121600,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1031,Meggat Burn tributary, ,532,35,doco,H45,2271835,5469779,14063585,efp,,,
121601,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1101,Meggat Burn tributary, ,532,35,doco,H45,2271810,5469794,14063585,efp,,,
121602,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1136,Meggat Burn tributary, ,532,35,doco,H45,2271782,5469805,14063585,efp,,,
121603,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1150,Meggat Burn tributary, ,532,35,doco,H45,2271884,5469766,14063585,efp,,,
121604,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1155,Meggat Burn tributary, ,532,35,doco,H45,2271966,5469800,14063585,efp,,,
121605,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1200,Meggat Burn tributary, ,532,35,doco,H45,2271962,5469828,14063585,efp,,,
121606,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1236,Meggat Burn tributary, ,532,35,doco,H45,2272004,5469833,14063585,efp,,,
121607,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1255,Meggat Burn tributary, ,532,35,doco,H45,2272134,5469795,14063585,efp,,,
121608,9,2021,Taieri River,1161001,Meggat Burn tributary,743.05,1300,Meggat Burn tributary, ,537,35,doco,H45,2272336,5469690,14063619,efp,,,
