"card","Month","Year","catchmentName","fragmentNumber","fragmentName","Catch No","m","y","catchname","catch","locality","time","org","map","east","north","altitude","penet","fishmeth","effort","pass","spcode","abund","number","minl","maxl","nzreach","abundnumber","aldfor","ameneb","angaus","angdie","angrei","anguil","caraur","chefos","cteide","cypcar","echauc","echone","galano","galarg","galaxi","galbre","galcob","galdep","galdiv","galeld","galfas","galgol","galgra","galmac","galmar","galpau","galpos","galpro","galpul","galspd","galspn","galspp","galsps","galspt","galvul","gamaff","geoaus","gobalp","gobbas","gobbre","gobcot","gobgob","gobhub","gobhut","gobiom","graham","hypmol","hyrmen","leuidu","marine","mugcep","mugil","neoapo","neobur","neodiv","neohel","neorek","nospec","oncmyk","oncner","onctsh","parane","parcur","parmar","perflu","poelat","poeret","prooxy","retret","rholep","rhombo","rhoret","salfon","salmo","salsal","saltru","scaery","stoani","tintin"
"3630","4","1987","Horseshoe Bend Stream","1491111","Horseshoe Bend Stream","705","4","1987","Horseshoe Bend S","705.000","Horseshoe Bend Stream","1400","niwa","j39","2362300","5621800","8","5","pun","5","","gobcot","c","","","","13067617","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3634","11","1987","Pareora River","1491105","Taiko Stream (Translocation)","701.04","11","1987","Pareora R","701.040","Taiko Stream","1500","niwa","j38","2354800","5650500","130","30","pun","","","gobiom","","","","","13065567","present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3634","11","1987","Pareora River","1491105","Taiko Stream (Translocation)","701.04","11","1987","Pareora R","701.040","Taiko Stream","1500","niwa","j38","2354800","5650500","130","30","pun","","","neobur","a","","","","13065567","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","abundent","","","","","","","","","","","","","","","","","","","","","","","","",""
"3635","11","1987","Washdyke Creek","1491099","Papaka Stream tributary 2","698.02","11","1987","Washdyke C","698.020","Papaka Stream","0900","niwa","j38","2363500","5654300","40","14","pun","","","gobcot","c","","","","13065232","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3635","11","1987","Washdyke Creek","1491099","Papaka Stream tributary 2","698.02","11","1987","Washdyke C","698.020","Papaka Stream","0900","niwa","j38","2363500","5654300","40","14","pun","","","neobur","a","","","","13065232","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","abundent","","","","","","","","","","","","","","","","","","","","","","","","",""
"3635","11","1987","Washdyke Creek","1491099","Papaka Stream tributary 2","698.02","11","1987","Washdyke C","698.020","Papaka Stream","0900","niwa","j38","2363500","5654300","40","14","pun","","","angdie","","1","","","13065232","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3636","11","1987","Washdyke Creek","1491098","Papaka Stream tributary 1","698.02","11","1987","Washdyke C","698.020","Papaka Stream","1200","niwa","j38","2364400","5654400","35","13","obs","","","neobur","a","","","","13065260","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","abundent","","","","","","","","","","","","","","","","","","","","","","","","",""
"3663","6","1981","Selwyn River","1491036","Hororata River tributary 2","680.04","6","1981","Selwyn R","680.040","Hororata River","1100","niwa","l36","2432100","5735000","140","65","han","","","saltru","o","","","","13048284","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","occasional","","",""
"3663","6","1981","Selwyn River","1491036","Hororata River tributary 2","680.04","6","1981","Selwyn R","680.040","Hororata River","1100","niwa","l36","2432100","5735000","140","65","han","","","angaus","o","","","","13048284","occasional","","","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3663","6","1981","Selwyn River","1491036","Hororata River tributary 2","680.04","6","1981","Selwyn R","680.040","Hororata River","1100","niwa","l36","2432100","5735000","140","65","han","","","gobbre","a","","","","13048284","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","abundent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3663","6","1981","Selwyn River","1491036","Hororata River tributary 2","680.04","6","1981","Selwyn R","680.040","Hororata River","1100","niwa","l36","2432100","5735000","140","65","han","","","neobur","","8","","","13048284","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"3674","2","1982","Selwyn River","1491036","Hororata River tributary 2","680.04","2","1982","Selwyn R","680.040","Hororata River","1000","niwa","l36","2432300","5735000","140","64","pun","","","neobur","c","","","","13048284","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","",""
"3674","2","1982","Selwyn River","1491036","Hororata River tributary 2","680.04","2","1982","Selwyn R","680.040","Hororata River","1000","niwa","l36","2432300","5735000","140","64","pun","","","gobbre","c","","","","13048284","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3675","2","1982","Waimakariri River","1491026","Mounseys Stream tributary 13","664.063","2","1982","Waimakariri R","664.063","Mounseys Stream tributary","1400","niwa","l35","2435000","5768300","310","65","pun","","","gobbre","c","","","","13038152","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3675","2","1982","Waimakariri River","1491026","Mounseys Stream tributary 13","664.063","2","1982","Waimakariri R","664.063","Mounseys Stream tributary","1400","niwa","l35","2435000","5768300","310","65","pun","","","neobur","c","","","","13038152","common","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","common","","","","","","","","","","","","","","","","","","","","","","","","",""
"4351","2","1982","Selwyn River","1491045","Blacks Stream","680.05","2","1982","Selwyn R","680.050","Blacks Stream","day","niwa","l35","2430900","5751800","255","86","han","","","nospec","","0","","","13043304","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"5052","10","1982","Pareora River","1491105","Taiko Stream (Translocation)","701","10","1982","Pareora R","701.000","Unnamed pond","night","niwa","j38","2353100","5651300","160","32","fyn","","","gobbre","o","","","","0","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5058","10","1982","Longbeach","1491078","Unnamed water race Grahams Road 3","690","10","1982","Longbeach","690.000","Unnamed stream Beachcroft","night","niwa","k37","2405800","5680900","25","3","fyn","","","neobur","","25","","","13061140","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"5058","10","1982","Longbeach","1491078","Unnamed water race Grahams Road 3","690","10","1982","Longbeach","690.000","Unnamed stream Beachcroft","night","niwa","k37","2405800","5680900","25","3","fyn","","","gobbre","","61","","","13061140","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5652","10","1983","Longbeach","1491078","Unnamed water race Grahams Road 3","690","10","1983","Longbeach","690.000","Unnamed stream Beachcroft","","niwa","k37","2405800","5680900","25","3","obs","","","nospec","","0","","","13061140","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"5660","10","1983","Pareora River","1491105","Taiko Stream (Translocation)","701","10","1983","Pareora R","701.000","Unnamed pond","1200","niwa","j38","2353100","5651300","160","32","han","","","neobur","o","","","","0","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","occasional","","","","","","","","","","","","","","","","","","","","","","","","",""
