"card","Month","Year","catchmentName","fragmentNumber","fragmentName","Catch No","m","y","catchname","catch","locality","time","org","map","east","north","altitude","penet","fishmeth","effort","pass","spcode","abund","number","minl","maxl","nzreach","abundnumber","aldfor","ameneb","angaus","angdie","angrei","anguil","caraur","chefos","cteide","cypcar","echauc","echone","galano","galarg","galaxi","galbre","galcob","galdep","galdiv","galeld","galfas","galgol","galgra","galmac","galmar","galpau","galpos","galpro","galpul","galspd","galspn","galspp","galsps","galspt","galvul","gamaff","geoaus","gobalp","gobbas","gobbre","gobcot","gobgob","gobhub","gobhut","gobiom","graham","hypmol","hyrmen","leuidu","marine","mugcep","mugil","neoapo","neobur","neodiv","neohel","neorek","nospec","oncmyk","oncner","onctsh","parane","parcur","parmar","perflu","poelat","poeret","prooxy","retret","rholep","rhombo","rhoret","salfon","salmo","salsal","saltru","scaery","stoani","tintin"
"34318","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2363808","5621753","9","3","gmt","","","angaus","","3","","","13067628","3","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34319","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2363811","5621801","9","3","gmt","","","gobcot","","95","","","0","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34320","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2363884","5621836","9","3","fyn","","","angaus","","17","","","13067601","17","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34321","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2363906","5621819","9","3","fyn","","","angaus","","1","","","13067601","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34322","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2363912","5621802","9","3","fyn","","","angaus","","5","","","13067601","5","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34323","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2363939","5621760","9","3","gmt","","","nospec","","","","","13067601","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34324","1","2010","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2010","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2363940","5621800","9","3","fyn","","","angaus","","4","","","13067601","4","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34326","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2363965","5621787","9","4","fyn","","","angaus","","1","","","13067601","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34327","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2364029","5621780","9","4","fyn","","","nospec","","","","","13067601","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34328","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","1343","docc","J39","2364037","5621600","9","4","gmt","","","gobcot","","55","","","13067601","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34329","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","1343","docc","J39","2364037","5621715","9","4","gmt","","","gobcot","","188","","","13067601","188","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34330","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","1315","docc","J39","2364042","5621436","8","4","gmt","","","gobcot","","26","","","13067637","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34331","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","1315","docc","J39","2364046","5621458","9","4","gmt","","","gobcot","","18","","","13067601","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34332","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","1343","docc","J39","2364046","5621653","9","4","gmt","","","gobcot","","10","","","13067601","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34333","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","1343","docc","J39","2364051","5621702","9","4","gmt","","","gobcot","","70","","","13067601","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34334","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","1343","docc","J39","2364059","5621709","9","4","gmt","","","gobcot","","65","","","13067601","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34334","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","1343","docc","J39","2364059","5621709","9","4","gmt","","","angaus","","1","","","13067601","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34335","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2364065","5621814","9","4","fyn","","","angaus","","10","","","13067601","10","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34336","1","2011","Kohika Stream","1491110","Kohika Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2364081","5622010","10","4","fyn","","","angaus","","4","","","13067601","4","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34337","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2364086","5621859","10","4","fyn","","","nospec","","","","","13067601","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34338","1","2011","Kohika Stream","1491111","Horseshoe Bend Stream","704","1","2011","Kohika S","704.000","Kohika Stream tributary","day","docc","J39","2364124","5621912","10","4","efp","","","nospec","","","","","13067601","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34353","12","2010","Washdyke Creek","1491097","Papaka Stream 1","698.02","12","2010","Washdyke C","698.020","Papaka Stream","1430","docc","j36","2366722","5651581","19","8","gmt","","","neobur","","72","","","13065484","72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","","","","","","","","","","","","","","","","","","","","",""
"34371","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1621","docc","","2375362","5721488","438","63","gmt","","","nospec","","","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34372","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1620","docc","","2375380","5721489","438","63","gmt","","","nospec","","","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34373","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","day","docc","","2375380","5721489","438","63","gmt","","","neobur","","3","","","13051658","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"34374","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1619","docc","","2375386","5721489","438","63","gmt","","","neobur","","2","","","13051658","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"34375","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1632","docc","","2375389","5721516","438","63","gmt","","","nospec","","","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34376","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1613","docc","","2375435","5721464","437","63","gmt","","","nospec","","","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34377","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1554","docc","","2375444","5721462","437","63","gmt","","","nospec","","","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34378","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1611","docc","","2375465","5721455","437","63","gmt","","","nospec","","","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34379","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1610","docc","","2375471","5721438","437","63","gmt","","","nospec","","","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34380","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1608","docc","","2375474","5721433","437","63","gmt","","","neobur","","1","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"34381","7","2011","Hinds River","1491092","Hinds River North Branch tributary wetland 2","691.01","7","2011","Hinds R","691.010","North Branch Hinds River tributary","1608","docc","","2375475","5721420","437","63","gmt","","","nospec","","","","","13051658","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34407","2","2008","Ashburton River","1491068","Ashburton River tributary drain","688","2","2008","Ashburton R","688.000","Ashburton River tributary","1450","docc","","2411612","5692128","58","11","efp","","","neobur","","1","","","13059962","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"34668","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1400","docc","M35","2486515","5764979","8","5","gmt","","","gobcot","","4","42","65","13038621","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34668","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1400","docc","M35","2486515","5764979","8","5","gmt","","","gobgob","","1","61","","13038621","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34668","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1400","docc","M35","2486515","5764979","8","5","gmt","","","galmac","","4","68","109","13038621","4","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34668","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1400","docc","M35","2486515","5764979","8","5","gmt","","","galaxi","","4","50","53","13038621","4","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34668","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1400","docc","M35","2486515","5764979","8","5","gmt","","","neobur","","4","64","86","13038621","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"34669","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1105","docc","M35","2486208","5764659","","","gmt","10","","angaus","","1","160","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34670","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1125","docc","M35","2486187","5764515","","","gmt","10","","gobgob","","3","44","50","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34670","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1125","docc","M35","2486187","5764515","","","gmt","10","","gobcot","","20","33","68","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34670","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1125","docc","M35","2486187","5764515","","","gmt","10","","gobiom","","18","32","50","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34671","8","2011","Pegasus","1491002","Taranaki Stream tributary wetland (pre Pegasus town)","663","8","2011","Pegasus","663.000","Tutai Patu Lagoon","1145","docc","M35","2486105","5763877","","","gmt","10","","neobur","","2","92","100","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"34672","8","2011","Pegasus","1491003","Taranaki Stream tributary 1","663","8","2011","Pegasus","663.000","Unnamed stream Pegasus","1215","docc","M35","2485662","5765212","8","5","gmt","10","","nospec","","","","","13038620","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34673","8","2011","Pegasus","1491002","Taranaki Stream tributary wetland (pre Pegasus town)","663","8","2011","Pegasus","663.000","Unnamed stream Pegasus","1245","docc","M35","2485602","5764934","","","gmt","10","","neobur","","4","80","91","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"34674","6","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2010","Selwyn R","680.040","Hororata River tributary","1125","docc","L36","2430770","5738293","162","69","gmt","4","","parane","n","","","","13047231","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","not present","","","","","","","","","","","","","","","","",""
"34674","6","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2010","Selwyn R","680.040","Hororata River tributary","1125","docc","L36","2430770","5738293","162","69","gmt","4","","parcur","n","","","","13047231","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","not present","","","","","","","","","","","","","","","",""
"34674","6","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2010","Selwyn R","680.040","Hororata River tributary","1125","docc","L36","2430770","5738293","162","69","gmt","4","","nospec","","","","","13047231","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34674","6","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","6","2010","Selwyn R","680.040","Hororata River tributary","1125","docc","L36","2430770","5738293","162","69","gmt","4","","hyrmen","n","","","","13047231","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34676","12","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","12","2010","Selwyn R","680.040","Hororata River tributary","1433","docc","L36","2431143","5736538","150","67","efp","","","gobbre","","1","62","","13047681","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34676","12","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","12","2010","Selwyn R","680.040","Hororata River tributary","1433","docc","L36","2431143","5736538","150","67","efp","","","saltru","","12","35","","13047681","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","",""
"34677","12","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","12","2010","Selwyn R","680.040","Hororata River tributary","1316","docc","L36","2431398","5736362","148","66","efp","70","1","hyrmen","n","","","","13047582","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34677","12","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","12","2010","Selwyn R","680.040","Hororata River tributary","1316","docc","L36","2431398","5736362","148","66","efp","70","1","parane","n","","","","13047582","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","not present","","","","","","","","","","","","","","","","",""
"34677","12","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","12","2010","Selwyn R","680.040","Hororata River tributary","1316","docc","L36","2431398","5736362","148","66","efp","70","1","parcur","n","","","","13047582","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","not present","","","","","","","","","","","","","","","",""
"34677","12","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","12","2010","Selwyn R","680.040","Hororata River tributary","1316","docc","L36","2431398","5736362","148","66","efp","70","1","saltru","","4","47","62","13047582","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","",""
"34677","12","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","12","2010","Selwyn R","680.040","Hororata River tributary","1316","docc","L36","2431398","5736362","148","66","efp","70","1","nospec","","1","200","","13047582","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"34677","12","2010","Selwyn River","1491038","Hororata River tributary 4","680.04","12","2010","Selwyn R","680.040","Hororata River tributary","1316","docc","L36","2431398","5736362","148","66","efp","70","1","galvul","","3","39","70","13047582","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34678","6","2011","Lee River","1491066","Tent Burn","684.03","6","2011","Lee River","684.030","Lee River","0923","docc","n29","2452779","5703918","7","1","gmt","4","","gobiom","","1","27","","13057809","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34678","6","2011","Lee River","1491066","Tent Burn","684.03","6","2011","Lee River","684.030","Lee River","0923","docc","n29","2452779","5703918","7","1","gmt","4","","parane","n","","","","13057809","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","not present","","","","","","","","","","","","","","","","",""
"34678","6","2011","Lee River","1491066","Tent Burn","684.03","6","2011","Lee River","684.030","Lee River","0923","docc","n29","2452779","5703918","7","1","gmt","4","","hyrmen","n","","","","13057809","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34678","6","2011","Lee River","1491066","Tent Burn","684.03","6","2011","Lee River","684.030","Lee River","0923","docc","n29","2452779","5703918","7","1","gmt","4","","parcur","n","","","","13057809","not present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","not present","","","","","","","","","","","","","","","",""
"34678","6","2011","Lee River","1491066","Tent Burn","684.03","6","2011","Lee River","684.030","Lee River","0923","docc","n29","2452779","5703918","7","1","gmt","4","","gobbre","","31","33","67","13057809","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34679","6","2011","Lee River","1491066","Tent Burn","684.031","6","2011","Lee R","684.031","Tent Burn","1100","docc","n29","2452406","5704189","7","1","gmt","28","","gobbre","","4","41","49","13057782","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34679","6","2011","Lee River","1491066","Tent Burn","684.031","6","2011","Lee R","684.031","Tent Burn","1100","docc","n29","2452406","5704189","7","1","gmt","28","","gobiom","","3","21","26","13057782","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34684","9","2008","Selwyn River","1491056","Selwyn water race","680.04","9","2008","Selwyn R","680.040","Hororata River tributary","1230","docc","L35","2426205","5740761","188","78","gmt","14","","neobur","","32","75","105","13046670","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","","","","","","","","","","","","","","","","","","","","","","",""
"35001","6","2012","Morven Drain","1491126","Dog Kennel Stream","710.02","6","2012","Morven Dn","710.020","Dog Kennel Stream","","docc","j40","2353742","5592952","95","15","gmt","10","","neobur","","18","60","100","13069314","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","",""
"35002","6","2012","Morven Drain","1491126","Dog Kennel Stream","710.02","6","2012","Morven Dn","710.020","Dog Kennel Stream","","docc","j40","2353979","5592987","95","15","gmt","10","","neobur","","41","60","110","13069318","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","","","","","","","","","","","","","","","","","","","","","","","",""
"35003","6","2012","Morven Drain","1491126","Dog Kennel Stream","710.02","6","2012","Morven Dn","710.020","Dog Kennel Stream","","docc","j40","2354039","5592989","95","15","gmt","10","","neobur","","58","55","116","13069318","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","","","","","","","","","","","","","","","","","","","","","","","","",""
"35004","6","2012","Ashburton River","1491071","Ashburton River tributary 2 (Translocation)","688","6","2012","Ashburton R","688.000","South Branch Ashburton River tributary","night","docc","","2401311","5708480","155","35","gmt","10","","neobur","","114","55","130","13056569","114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","","","","","","","","","","","","","","","","","","","","","","","","",""
"35004","6","2012","Ashburton River","1491071","Ashburton River tributary 2 (Translocation)","688","6","2012","Ashburton R","688.000","South Branch Ashburton River tributary","night","docc","","2401311","5708480","155","35","gmt","10","","gobbre","o","","","","13056569","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35005","6","2012","Ashburton River","1491071","Ashburton River tributary 2 (Translocation)","688","6","2012","Ashburton R","688.000","South Branch Ashburton River","night","docc","","2401335","5708363","155","35","gmt","10","","neobur","","269","53","145","13056569","269","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269","","","","","","","","","","","","","","","","","","","","","","","","",""
"35005","6","2012","Ashburton River","1491071","Ashburton River tributary 2 (Translocation)","688","6","2012","Ashburton R","688.000","South Branch Ashburton River","night","docc","","2401335","5708363","155","35","gmt","10","","gobbre","o","","","","13056569","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","occasional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
