card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No
104599,5,2008,Unnamed Stream,1491124,Unnamed stream Morven 2,710
109034,1,2008,Longbeach,1491081,Unnamed pond Willowby (Translocation),690
29862,1,2009,Waimakariri River,1491021,Mounseys Stream,664.063
30423,6,2009,Waitaki River,1491139,Waitaki River tributary 2,711
30424,6,2009,Morven Drain,1491126,Dog Kennel Stream,710.02
30426,6,2009,Waitaki River,1491139,Waitaki River tributary 2,711
30427,6,2009,Waitaki River,1491139,Waitaki River tributary 2,711
30428,6,2009,Waitaki River,1491139,Waitaki River tributary 2,711
30436,7,2009,Waitaki River,1491135,Waitaki River tributary wetland 2,711
30832,7,2009,Selwyn River,1491042,Cordys Stream,680.04
30836,8,2009,Selwyn River,1491057,Coalgate water race,680
30837,8,2009,Selwyn River,1491057,Coalgate water race,680
30838,8,2009,Selwyn River,1491057,Coalgate water race,680
30839,8,2009,Selwyn River,1491057,Coalgate water race,680
30840,8,2009,Selwyn River,1491057,Coalgate water race,680
30841,8,2009,Selwyn River,1491040,Hororata River tributary 6,680.04
30933,9,2009,Selwyn River,1491036,Hororata River tributary 2,680.04
30944,5,2009,Lee River,1491066,Tent Burn,684.03
30945,5,2009,Coopers Lagoon,1491066,Tent Burn,684.01
34054,8,2009,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
34312,8,2009,Hook River,1491116,Wainono Lagoon,707
34315,8,2009,Hook River,1491116,Wainono Lagoon,707
100412,5,2009,Waimakariri River,1491020,Mounseys Stream tributary 8,664.063
100425,6,2009,Morven Drain,1491126,Dog Kennel Stream,710.02
100426,6,2009,Morven Drain,1491126,Dog Kennel Stream,710.02
100438,7,2009,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688
100439,7,2009,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688
100454,5,2009,Selwyn River,1491037,Hororata River tributary 3,680.04
100469,4,2009,Ashley River,1491002,Taranaki Stream tributary wetland (pre Pegasus town),662
100470,4,2009,Ashley River,1491002,Taranaki Stream tributary wetland (pre Pegasus town),662
100495,5,2009,Waimakariri River,1491020,Mounseys Stream tributary 8,664.063
100497,5,2009,Waimakariri River,1491018,Mounseys Stream tributary 6,664.063
100500,10,2009,Longbeach,1491075,Unnamed wetland Grahams Road,690
100506,9,2009,Selwyn River,1491045,Blacks Stream,680.05
100507,9,2009,Selwyn River,1491040,Hororata River tributary 6,680.04
100548,5,2009,Waimakariri River,1491017,Mounseys Stream tributary 5,664.063
100549,5,2009,Waimakariri River,1491017,Mounseys Stream tributary 5,664.063
100550,5,2009,Waimakariri River,1491018,Mounseys Stream tributary 6,664.063
100551,5,2009,Waimakariri River,1491018,Mounseys Stream tributary 6,664.063
109035,12,2009,Longbeach,1491081,Unnamed pond Willowby (Translocation),690
34053,8,2010,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
34306,12,2010,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705
34307,12,2010,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705
34308,12,2010,Washdyke Creek,1491096,Rosewill Stream,698.02
34310,12,2010,Washdyke Creek,1491100,Papaka Stream 2,698.02
34324,1,2010,Kohika Stream,1491111,Horseshoe Bend Stream,704
34353,12,2010,Washdyke Creek,1491097,Papaka Stream 1,698.02
34674,6,2010,Selwyn River,1491038,Hororata River tributary 4,680.04
34676,12,2010,Selwyn River,1491038,Hororata River tributary 4,680.04
34677,12,2010,Selwyn River,1491038,Hororata River tributary 4,680.04
100165,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100166,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100167,1,2010,Selwyn River,1491055,Waianiwaniwa River tributary 8,680.05
100168,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100169,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100170,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100171,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100172,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100173,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100176,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100177,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100178,1,2010,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05
100179,1,2010,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05
100180,1,2010,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05
100181,1,2010,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05
100182,1,2010,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05
100183,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100184,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100185,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100186,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100187,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100188,1,2010,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05
100189,1,2010,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05
100190,1,2010,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05
100191,1,2010,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05
100192,1,2010,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05
100193,1,2010,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05
100194,1,2010,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05
100195,1,2010,Selwyn River,1491050,Waianiwaniwa River tributary 4,680.05
100196,1,2010,Selwyn River,1491051,Waianiwaniwa River tributary 5,680.05
100197,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100198,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05
100199,1,2010,Selwyn River,1491049,Waianiwaniwa River tributary 3,680.05
100427,6,2010,Morven Drain,1491126,Dog Kennel Stream,710.02
100428,6,2010,Morven Drain,1491126,Dog Kennel Stream,710.02
100429,6,2010,Morven Drain,1491126,Dog Kennel Stream,710.02
100440,6,2010,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688
100441,6,2010,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688
100442,7,2010,Waitaki River,1491135,Waitaki River tributary wetland 2,711
100443,5,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100444,7,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100445,7,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100446,11,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100455,6,2010,Selwyn River,1491037,Hororata River tributary 3,680.04
100460,5,2010,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664
100464,5,2010,Avon River,1491030,Avon River pond (Translocation),666
100473,6,2010,Selwyn River,1491038,Hororata River tributary 4,680.04
100501,5,2010,Longbeach,1491075,Unnamed wetland Grahams Road,690
100502,6,2010,Longbeach,1491075,Unnamed wetland Grahams Road,690
100554,4,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100555,4,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100556,4,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100557,7,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100558,10,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100559,10,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100560,10,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100561,11,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100562,12,2010,Avon River,1491027,Avon River tributary wetland (Translocation),666
100568,12,2010,Selwyn River,1491038,Hororata River tributary 4,680.04
100570,12,2010,Selwyn River,1491038,Hororata River tributary 4,680.04
100571,12,2010,Selwyn River,1491038,Hororata River tributary 4,680.04
100572,12,2010,Selwyn River,1491038,Hororata River tributary 4,680.04
102127,6,2010,Selwyn River,1491059,Wairiri Stream,680.07
34313,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34314,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34316,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34317,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34318,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34319,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34320,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34321,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34322,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34323,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34326,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34327,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34328,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34329,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34330,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34331,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34332,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34333,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34334,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34335,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34336,1,2011,Kohika Stream,1491110,Kohika Stream,704
34337,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34338,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704
34371,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34372,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34373,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34374,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34375,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34376,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34377,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34378,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34379,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34380,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34381,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01
34668,8,2011,Pegasus,1491003,Taranaki Stream tributary 1,663
34669,8,2011,Pegasus,1491003,Taranaki Stream tributary 1,663
34670,8,2011,Pegasus,1491003,Taranaki Stream tributary 1,663
34671,8,2011,Pegasus,1491002,Taranaki Stream tributary wetland (pre Pegasus town),663
34672,8,2011,Pegasus,1491003,Taranaki Stream tributary 1,663
34673,8,2011,Pegasus,1491002,Taranaki Stream tributary wetland (pre Pegasus town),663
34678,6,2011,Lee River,1491066,Tent Burn,684.03
34679,6,2011,Lee River,1491066,Tent Burn,684.031
100247,10,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100248,10,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100249,10,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100250,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100251,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100252,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100253,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100254,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100255,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100256,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100257,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100258,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100259,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100260,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100261,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100262,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100263,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100264,11,2011,Lake Ellesmere,1491064,Ellesmere stockwater race and drainage network,683
100265,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100266,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100267,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100268,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100269,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100270,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100271,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100272,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100273,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100274,11,2011,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100447,2,2011,Avon River,1491027,Avon River tributary wetland (Translocation),666
100448,3,2011,Avon River,1491027,Avon River tributary wetland (Translocation),666
100449,5,2011,Avon River,1491027,Avon River tributary wetland (Translocation),666
100450,8,2011,Pegasus,1491002,Taranaki Stream tributary wetland (pre Pegasus town),663
100451,8,2011,Pegasus,1491002,Taranaki Stream tributary wetland (pre Pegasus town),663
100452,8,2011,Pegasus,1491002,Taranaki Stream tributary wetland (pre Pegasus town),663
100456,4,2011,Selwyn River,1491037,Hororata River tributary 3,680.04
100458,4,2011,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664
100461,4,2011,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664
100465,4,2011,Avon River,1491030,Avon River pond (Translocation),666
100468,1,2011,Pareora River,1491102,Pareora River tributary 2,701
100474,4,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
100475,4,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
100503,6,2011,Longbeach,1491075,Unnamed wetland Grahams Road,690
100552,8,2011,Ashley River,1491003,Taranaki Stream tributary 1,662
100553,8,2011,Ashley River,1491003,Taranaki Stream tributary 1,662
100563,5,2011,Avon River,1491027,Avon River tributary wetland (Translocation),666
100564,5,2011,Avon River,1491027,Avon River tributary wetland (Translocation),666
100565,9,2011,Avon River,1491027,Avon River tributary wetland (Translocation),666
100566,9,2011,Avon River,1491027,Avon River tributary wetland (Translocation),666
100567,9,2011,Avon River,1491027,Avon River tributary wetland (Translocation),666
100575,6,2011,Lee River,1491066,Tent Burn,684.031
100576,6,2011,Lee River,1491066,Tent Burn,684.031
100577,6,2011,Lee River,1491066,Tent Burn,684.031
100578,6,2011,Lee River,1491066,Tent Burn,684.031
100579,6,2011,Lee River,1491066,Tent Burn,684.031
100580,6,2011,Lee River,1491066,Tent Burn,684.031
106554,1,2011,Pareora River,1491142,Pareora River tributary 4,701
107340,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
107341,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
107342,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
107343,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
107344,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
107345,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
107346,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
107347,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
107348,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
107349,11,2011,Selwyn River,1491038,Hororata River tributary 4,680.04
34065,7,2012,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
35001,6,2012,Morven Drain,1491126,Dog Kennel Stream,710.02
35002,6,2012,Morven Drain,1491126,Dog Kennel Stream,710.02
35003,6,2012,Morven Drain,1491126,Dog Kennel Stream,710.02
35004,6,2012,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688
35005,6,2012,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688
35006,6,2012,Waitaki River,1491135,Waitaki River tributary wetland 2,711
35007,5,2012,Selwyn River,1491038,Hororata River tributary 4,680.04
35008,5,2012,Selwyn River,1491038,Hororata River tributary 4,680.04
35009,5,2012,Avon River,1491030,Avon River pond (Translocation),666
35010,5,2012,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05
35011,5,2012,Selwyn River,1491037,Hororata River tributary 3,680.04
35012,5,2012,Selwyn River,1491038,Hororata River tributary 4,680.04
35013,5,2012,Selwyn River,1491038,Hororata River tributary 4,680.04
35014,5,2012,Avon River,1491027,Avon River tributary wetland (Translocation),666
35015,5,2012,Avon River,1491027,Avon River tributary wetland (Translocation),666
35016,5,2012,Avon River,1491027,Avon River tributary wetland (Translocation),666
100214,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100215,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100216,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100217,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100218,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100219,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100220,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100221,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100222,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100223,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100224,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100225,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100226,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100227,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100228,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100229,7,2012,Selwyn River,1491064,Ellesmere stockwater race and drainage network,680
100275,10,2012,St Andrews,1491106,Unnamed stream St Andrews,702
100276,10,2012,Washdyke Creek,1491100,Papaka Stream 2,698.02
100277,10,2012,Washdyke Creek,1491100,Papaka Stream 2,698.02
100278,10,2012,Selwyn River,1491037,Hororata River tributary 3,680.04
100279,10,2012,Selwyn River,1491039,Hororata River tributary 5,680
100280,11,2012,Hinds River,1491087,Hinds River tributary 3,691
100281,11,2012,Waimakariri River,1491013,Mounseys Stream tributary 1,664.06
100282,11,2012,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
102122,6,2012,Selwyn River,1491040,Hororata River tributary 6,680.04
102513,7,2012,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
34075,6,2013,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
100230,6,2013,Morven Drain,1491126,Dog Kennel Stream,710.02
100231,6,2013,Morven Drain,1491126,Dog Kennel Stream,710.02
100232,6,2013,Morven Drain,1491126,Dog Kennel Stream,710.02
100233,6,2013,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688
100235,7,2013,Waitaki River,1491135,Waitaki River tributary wetland 2,711
100236,7,2013,Selwyn River,1491040,Hororata River tributary 6,680.04
100237,7,2013,Selwyn River,1491040,Hororata River tributary 6,680.04
100238,7,2013,Selwyn River,1491043,Hororata River 2,680.04
100241,6,2013,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664
100245,6,2013,Selwyn River,1491038,Hororata River tributary 4,680.04
100635,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100636,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100637,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100638,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100639,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100640,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100641,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100642,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100643,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100644,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100645,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100648,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100649,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100650,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100651,8,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100652,8,2013,Kohika Stream,1491110,Kohika Stream,704
100656,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100657,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100659,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100660,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100661,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100662,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100663,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100664,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100665,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100666,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100667,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100668,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100669,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100670,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100671,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100672,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100673,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100674,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100675,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100676,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100678,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100679,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100680,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100681,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100682,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100683,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100684,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100685,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100686,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100687,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100688,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100689,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100690,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100691,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100692,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100693,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100694,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100695,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100696,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100697,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100698,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100699,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100700,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100701,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100702,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100703,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100704,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100705,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100706,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100707,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100708,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100709,9,2013,Kohika Stream,1491110,Kohika Stream,704
100710,9,2013,Kohika Stream,1491110,Kohika Stream,704
100711,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100712,9,2013,Kohika Stream,1491109,Kohika Stream tributary 3,704
100714,9,2013,Kohika Stream,1491111,Horseshoe Bend Stream,704
100715,9,2013,Kohika Stream,1491110,Kohika Stream,704
100716,9,2013,Kohika Stream,1491109,Kohika Stream tributary 3,704
100717,9,2013,Kohika Stream,1491109,Kohika Stream tributary 3,704
100718,9,2013,Kohika Stream,1491109,Kohika Stream tributary 3,704
100719,9,2013,Kohika Stream,1491109,Kohika Stream tributary 3,704
100720,9,2013,Kohika Stream,1491109,Kohika Stream tributary 3,704
100721,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100722,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100723,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100724,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100725,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100726,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100727,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100728,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100729,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100730,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100731,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100732,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100733,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100734,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100735,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100736,9,2013,Kohika Stream,1491108,Kohika Stream tributary 2,704
100737,9,2013,Waitaki River,1491137,Waitaki River tributary wetland 4,711
100738,9,2013,Waitaki River,1491135,Waitaki River tributary wetland 2,711
100739,9,2013,Waitaki River,1491135,Waitaki River tributary wetland 2,711
100740,9,2013,Waitaki River,1491134,Waitaki River tributary wetland 1,711
100741,9,2013,Waitaki River,1491134,Waitaki River tributary wetland 1,711
100773,12,2013,Makikihi,1491113,Unnamed stream Makikihi 1,706.5
100774,12,2013,Makikihi,1491113,Unnamed stream Makikihi 1,706.5
100775,12,2013,Makikihi,1491114,Unnamed stream Makikihi 2,706.5
100776,12,2013,Makikihi,1491114,Unnamed stream Makikihi 2,706.5
100777,12,2013,Makikihi,1491114,Unnamed stream Makikihi 2,706.5
100778,12,2013,Makikihi,1491114,Unnamed stream Makikihi 2,706.5
102514,6,2013,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063
102517,6,2013,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688
102518,6,2013,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688
102532,7,2013,Waitaki River,1491135,Waitaki River tributary wetland 2,711
102535,6,2013,Selwyn River,1491038,Hororata River tributary 4,680.04
102536,6,2013,Selwyn River,1491038,Hororata River tributary 4,680.04
102537,6,2013,Selwyn River,1491038,Hororata River tributary 4,680.04
102538,6,2013,Selwyn River,1491038,Hororata River tributary 4,680.04
102539,6,2013,Selwyn River,1491038,Hororata River tributary 4,680.04
102545,6,2013,Avon River,1491030,Avon River pond (Translocation),666
102548,6,2013,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05
102554,6,2013,Selwyn River,1491037,Hororata River tributary 3,680.04
